#;Asset Name;Province;City/Town;Organisational Status;Typology
1;Al Majma'ah Museum at Al-Rbaia House;Riyadh;Al-Majma'ah;Public;History & Culture
2;Al-Emmarah Old Palace (Al-Ghatt Museum);Riyadh;Al-Ghat;Public;History & Culture
3;Al-Faisal Museum for Arab-Islamic Art (Al Faisal Arabic and Islamic Arts Museum);Riyadh;Riyadh;Public;Islamic Art 
5;Currency Museum;Riyadh;Riyadh;Public;Specialized
6;Diriyah Museum;Riyadh;Diriyah;Public;Saudi Heritage 
12;Horse Museum (also referred to as Arabian Horse Museum);Riyadh;Diriyah;Public;Natural History
14;King Abdulaziz War College Museum, King Abdulaziz Military Academy ;Riyadh;Al Uyanaynah;Public;Specialized
15;King Fahd National Library Museum;Riyadh;Riyadh;Public;History & Culture
16;King Salman Science Oasis Museum in Al-Raed;Riyadh;Riyadh;Public Private;Science & Technology
17;Masmak Palace (Masmak Fort Museum);Riyadh;Riyadh;Public;History & Culture
18;Military Museum;Riyadh;Diriyah;Public;Specialized
19;Murabba Palace;Riyadh;Riyadh;Public;History & Culture
20;Nassif House Museum;Makkah;Jeddah;Public ;Specialized
21;National Museum of Saudi Arabia;Riyadh;Riyadh;Public;History & Culture
22;Open Air Museum (Jeddah Sculpture Museum);Makkah;Jeddah;Public;Art
25;Saqer al-Jazirah Royal Saudi Air Force Aviation Museum;Riyadh;Riyadh;Public;Specialized
26;Shaqra Heritage Museum (Shagra Museum in Al-Sbaiay House);Riyadh;Shaqra;Public;History & Culture
27;Social Life Museum (Lifestyle Museum);Riyadh;Diriyah;Public;Natural Science
28;Traditional Architecture Museum;Riyadh;Diriyah;Public;Specialized
31;Zakat, Tax and Customs Authority Museum;Riyadh;Riyadh;Public;Specialized
32;Al-Faisal for Arabic Manuscripts;Riyadh;Riyadh;Public;
35;Archaeological Museum (Antiquities Museum), King Saud University;Riyadh;Riyadh;Public;Archaeology
36;College of Science Museum, King Abdulaziz University (Al Faisaliah);Makkah;Jeddah;Public;Science & Technology
37;College of Science Museum, King Abdulaziz University (Sulaymaniyah);Makkah;Jeddah;Public;Science & Technology
38;College of Tourism and Archaeology Museum (Folklore Museum), King Saud University;Riyadh;Riyadh;Public;History & Culture
39;Geological Museum, King Saud University;Riyadh;Riyadh;Public;Science & Technology
40;Geology Museum (Earth Sciences Faculty Museum), King Abdulaziz University ;Makkah;Jeddah;Public;Natural Science
41;Museum of Biology in the Faculty of Science, King Abdulaziz University;Makkah;Jeddah;Public;Science & Technology
42;Museum of the History of Science and Technology in Islam, Imam Mohammed Ibn Saud Islamic University;Riyadh;Riyadh;Public;History & Culture
45;Zoology Museum (Animal Science College Museum), King Saud University;Riyadh;Riyadh;Public;Natural History
46;Historical Museum, Princess Nourah Bint Abdul Rahman University;Riyadh;Riyadh;Public;History & Culture
47;N/A;Riyadh;Al-Zulfi;Private;N/A
51;N/A;Riyadh;Riyadh;Private;N/A
53;N/A;Riyadh;Riyadh;Private;N/A
55;N/A;Riyadh;Riyadh;Private;N/A
59;N/A;Riyadh;Sudair;Private;N/A
60;N/A;Riyadh;Dhurma;Private;N/A
69;N/A;Riyadh;Riyadh;Private;N/A
86;King Salman Science Oasis Museum;Riyadh;Riyadh;Public Private;Science & Technology
