restaurant_id,name,reviews,rating,Cuisines,City
"24859922,Swiss Butter,11,4.5,""['Steakhouse', 'Grill']"",Riyadh"
"23465213,Huqqa,11,4.5,""['Italian', 'Pizza', 'European', 'Middle Eastern', 'Arabic']"",Riyadh"
"7253602,TopKapi,136,4,""['Mediterranean', 'Barbecue', 'Turkish', 'Middle Eastern']"",Riyadh"
"10372383,Anardana Indian Restaurant,45,4.5,""['Indian', 'Asian']"",Riyadh"
"21160072,Nando's,99,5,""['Grill', 'Healthy', 'Portuguese']"",Riyadh"
24859923,Al Baik,235,4.1,['Middle Eastern'],Jeddah
24859924,Shawarma House,435,3.7,['Fast Food'],Jeddah
24859925,Ocean Basket,161,4.5,['Seafood'],Jeddah
24859926,Byblos,482,3.7,['Lebanese'],Jeddah
24859927,Maison de Zaid,33,3.7,['International'],Jeddah
24859928,Tabuk Grill,390,4.6,['Grill'],Tabuk
24859929,Pizza Roma,299,3.8,['Italian'],Tabuk
24859930,Al Khodariyah,302,4,['Traditional'],Tabuk
24859931,Indian Tandoori,376,4.5,['Indian'],Tabuk
24859932,Café Elite,21,4.6,['Café'],Tabuk
24859933,Abha View,24,4.5,['Saudi'],Abha
24859934,Mountain Bites,351,4.8,['Grill'],Abha
24859935,Al Mashrabiyah,481,4.4,['Traditional'],Abha
24859936,Spice Route,302,3.6,['Asian'],Abha
24859937,Green Taste,415,3.9,['Healthy'],Abha
24859938,Fusion Dine,291,4.1,['Fusion'],Alkubar
24859939,Burger Hub,323,3.8,['American'],Alkubar
24859940,The Terrace,319,4.4,['Seafood'],Alkubar
24859941,Sakura Sushi,249,4.8,['Japanese'],Alkubar
24859942,Al Khaleej,345,4.6,['Gulf'],Alkubar
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
