City;STADIUM;Location;Style
Jeddah ;King Abdullah sports city;Abhur Al Junoobiyah; distinctive geometric architecture
Jeddah ;Qiddiya coast;Qiddiya;Mexican wave
Jeddah ;Jeddah central development;; traditional historical technological  Innovative 
Jeddah ;King Abdullah economic city;King Abdullah economic city; versatile design and organic aesthetic
Abha;King Khalid University ;south-east of Abha.;Modern historical 
Al Khobar;Aramco; north of Al Khobar; sea's dynamic nature
Neom;Neom;Neom;Futuristic Elevated 
Riyadh;King Salman internatinal stadium;;Modern
Riyadh;King Fahad sports city;;traditional Cultural iconic 
Riyadh;Prince Mohammed bin salman;Qiddiya ;futuristic aesthetic
Riyadh;New Murabba;;technological
Riyadh;Roshn;;Innovative Urban Sports 
Riyadh;Prince Faisal Bin Fahad sport city;;Cultural Modern
Riyadh;South Riyadh;;Cultural Modern
Riyadh;King Saud University ;U Walk;Urban
;;;Urban Sports 
