#,Asset Name,City/Town,Typology
3,Al-Faisal Museum for Arab-Islamic Art (Al Faisal Arabic and Islamic Arts Museum),Riyadh,Islamic Art 
5,Currency Museum,Riyadh,Specialized
15,King Fahd National Library Museum,Riyadh,History & Culture
16,King Salman Science Oasis Museum in Al-Raed,Riyadh,Science & Technology
17,Masmak Palace (Masmak Fort Museum),Riyadh,History & Culture
19,Murabba Palace,Riyadh,History & Culture
20,Nassif House Museum,Jeddah,Specialized
21,National Museum of Saudi Arabia,Riyadh,History & Culture
22,Open Air Museum (Jeddah Sculpture Museum),Jeddah,Art
25,Saqer al-Jazirah Royal Saudi Air Force Aviation Museum,Riyadh,Specialized
31,"Zakat, Tax and Customs Authority Museum",Riyadh,Specialized
35,"Archaeological Museum (Antiquities Museum), King Saud University",Riyadh,Archaeology
36,"College of Science Museum, King Abdulaziz University (Al Faisaliah)",Jeddah,Science & Technology
37,"College of Science Museum, King Abdulaziz University (Sulaymaniyah)",Jeddah,Science & Technology
38,"College of Tourism and Archaeology Museum (Folklore Museum), King Saud University",Riyadh,History & Culture
39,"Geological Museum, King Saud University",Riyadh,Science & Technology
40,"Geology Museum (Earth Sciences Faculty Museum), King Abdulaziz University ",Jeddah,Natural Science
41,"Museum of Biology in the Faculty of Science, King Abdulaziz University",Jeddah,Science & Technology
42,"Museum of the History of Science and Technology in Islam, Imam Mohammed Ibn Saud Islamic University",Riyadh,History & Culture
45,"Zoology Museum (Animal Science College Museum), King Saud University",Riyadh,Natural History
46,"Historical Museum, Princess Nourah Bint Abdul Rahman University",Riyadh,History & Culture
86,King Salman Science Oasis Museum,Riyadh,Science & Technology
87,Al Dalam Abuq History and Heritage ,Riyadh,Saudi Heritage 
89,Al Udaib Heritage Museum,Riyadh,Saudi Heritage 
95,Al Tayebat International City Museum for Science and Knowledge (Al-Tayabat City Museum for International Civilization),Jeddah,History & Culture
99,Museum of Home Art,Jeddah,History & Culture
106,Mashuh Al-Mashuh for Heritage,Riyadh,Saudi Heritage 
107,Al Senawy Heritage,Riyadh,Saudi Heritage 
108,Khaled Al-Ridyan Heritage Museum,Riyadh,Saudi Heritage 
109,Roots and Heritage of Abdulaziz bin Abd Rabu bin Muhaisen Al-Hazmi,Riyadh,Saudi Heritage 
186,Oriental Antique,Al Khobar,Saudi Heritage
187,Alamuesa Museum,Al Khobar,Saudi Heritage
188,Tea Museum,Al Khobar,Saudi Heritage
192,Scitech Museum,Al Khobar,Science & Technology
